#    L    TT             EE             TE          
     2    0.93099E+07    0.78679E+04    0.27055E+06
     3    0.53823E+07    0.67707E+02    0.14904E+04
     4    0.33736E+06    0.39067E+01    0.65238E+02
     5    0.31963E+04    0.20071E+01   -0.90369E+00
     6    0.25000E+04    0.24565E+01   -0.20305E+01
     7    0.19402E+04    0.28948E+01    0.21610E+01
     8    0.18367E+04    0.32270E+01    0.52854E+01
     9    0.17163E+04    0.34859E+01    0.73800E+01
    10    0.15843E+04    0.36816E+01    0.87488E+01
    11    0.14588E+04    0.38118E+01    0.96083E+01
    12    0.13383E+04    0.38745E+01    0.10104E+02
    13    0.12302E+04    0.38770E+01    0.10346E+02
    14    0.11309E+04    0.38305E+01    0.10400E+02
    15    0.10429E+04    0.37494E+01    0.10322E+02
    16    0.96435E+03    0.36450E+01    0.10149E+02
    17    0.89352E+03    0.35257E+01    0.99139E+01
    18    0.82596E+03    0.33858E+01    0.94001E+01
    19    0.77487E+03    0.32606E+01    0.93113E+01
    20    0.72684E+03    0.31254E+01    0.90908E+01
    21    0.68376E+03    0.29880E+01    0.88579E+01
    22    0.64575E+03    0.28518E+01    0.86529E+01
    23    0.61227E+03    0.27186E+01    0.84874E+01
    24    0.58278E+03    0.25894E+01    0.83638E+01
    25    0.55696E+03    0.24650E+01    0.82818E+01
    26    0.53428E+03    0.23453E+01    0.82365E+01
    27    0.51457E+03    0.22306E+01    0.82219E+01
    28    0.49746E+03    0.21207E+01    0.82301E+01
    29    0.48265E+03    0.20154E+01    0.82530E+01
    30    0.46996E+03    0.19146E+01    0.82832E+01
    31    0.45907E+03    0.18181E+01    0.83133E+01
    32    0.44992E+03    0.17258E+01    0.83395E+01
    33    0.44230E+03    0.16375E+01    0.83577E+01
    34    0.43605E+03    0.15530E+01    0.83660E+01
    35    0.43102E+03    0.14722E+01    0.83639E+01
    36    0.42707E+03    0.13950E+01    0.83513E+01
    37    0.42410E+03    0.13211E+01    0.83286E+01
    38    0.42201E+03    0.12505E+01    0.82979E+01
    39    0.42070E+03    0.11830E+01    0.82602E+01
    40    0.42008E+03    0.11186E+01    0.82160E+01
    41    0.42007E+03    0.10571E+01    0.81649E+01
    42    0.42059E+03    0.99841E+00    0.81069E+01
    43    0.42159E+03    0.94240E+00    0.80424E+01
    44    0.42303E+03    0.88898E+00    0.79724E+01
    45    0.42485E+03    0.83803E+00    0.78973E+01
    46    0.42702E+03    0.78948E+00    0.78171E+01
    47    0.42951E+03    0.74321E+00    0.77311E+01
    48    0.43228E+03    0.69914E+00    0.76402E+01
    49    0.43531E+03    0.65724E+00    0.75458E+01
    50    0.43857E+03    0.61743E+00    0.74476E+01
    51    0.44199E+03    0.57964E+00    0.73437E+01
    52    0.44555E+03    0.54375E+00    0.72318E+01
    53    0.44922E+03    0.50961E+00    0.71116E+01
    54    0.45300E+03    0.47714E+00    0.69856E+01
    55    0.45688E+03    0.44629E+00    0.68568E+01
    56    0.46086E+03    0.41704E+00    0.67271E+01
    57    0.46492E+03    0.38938E+00    0.65962E+01
    58    0.46904E+03    0.36323E+00    0.64631E+01
    59    0.47321E+03    0.33853E+00    0.63264E+01
    60    0.47742E+03    0.31518E+00    0.61854E+01
    61    0.48165E+03    0.29310E+00    0.60402E+01
    62    0.48590E+03    0.27225E+00    0.58911E+01
    63    0.49015E+03    0.25256E+00    0.57389E+01
    64    0.49441E+03    0.23400E+00    0.55837E+01
    65    0.49867E+03    0.21653E+00    0.54259E+01
    66    0.50291E+03    0.20010E+00    0.52657E+01
    67    0.50714E+03    0.18465E+00    0.51039E+01
    68    0.51135E+03    0.17016E+00    0.49414E+01
    69    0.51556E+03    0.15657E+00    0.47788E+01
    70    0.51974E+03    0.14384E+00    0.46161E+01
    71    0.52389E+03    0.13193E+00    0.44530E+01
    72    0.52801E+03    0.12080E+00    0.42887E+01
    73    0.53209E+03    0.11041E+00    0.41230E+01
    74    0.53613E+03    0.10072E+00    0.39562E+01
    75    0.54012E+03    0.91702E-01    0.37887E+01
    76    0.54407E+03    0.83323E-01    0.36212E+01
    77    0.54798E+03    0.75551E-01    0.34543E+01
    78    0.55185E+03    0.68354E-01    0.32881E+01
    79    0.55567E+03    0.61703E-01    0.31228E+01
    80    0.55945E+03    0.55566E-01    0.29583E+01
    81    0.56317E+03    0.49917E-01    0.27945E+01
    82    0.56684E+03    0.44727E-01    0.26315E+01
    83    0.57045E+03    0.39973E-01    0.24694E+01
    84    0.57402E+03    0.35629E-01    0.23086E+01
    85    0.57752E+03    0.31673E-01    0.21494E+01
    86    0.58097E+03    0.28082E-01    0.19920E+01
    87    0.58437E+03    0.24833E-01    0.18370E+01
    88    0.58771E+03    0.21907E-01    0.16843E+01
    89    0.59100E+03    0.19282E-01    0.15342E+01
    90    0.59423E+03    0.16940E-01    0.13865E+01
    91    0.59739E+03    0.14863E-01    0.12411E+01
    92    0.60049E+03    0.13034E-01    0.10980E+01
    93    0.60351E+03    0.11436E-01    0.95731E+00
    94    0.60647E+03    0.10051E-01    0.81913E+00
    95    0.60937E+03    0.88647E-02    0.68366E+00
    96    0.61220E+03    0.78601E-02    0.55108E+00
    97    0.61496E+03    0.70234E-02    0.42164E+00
    98    0.61767E+03    0.63411E-02    0.29548E+00
    99    0.62031E+03    0.58012E-02    0.17272E+00
   100    0.62290E+03    0.53927E-02    0.53394E-01
   101    0.62543E+03    0.51052E-02   -0.62449E-01
   102    0.62789E+03    0.49283E-02   -0.17475E+00
   103    0.63029E+03    0.48517E-02   -0.28346E+00
   104    0.63262E+03    0.48651E-02   -0.38859E+00
   105    0.63488E+03    0.49590E-02   -0.49014E+00
   106    0.63707E+03    0.51244E-02   -0.58801E+00
   107    0.63920E+03    0.53534E-02   -0.68213E+00
   108    0.64126E+03    0.56387E-02   -0.77244E+00
   109    0.64324E+03    0.59736E-02   -0.85892E+00
   110    0.64516E+03    0.63514E-02   -0.94152E+00
   111    0.64702E+03    0.67653E-02   -0.10202E+01
   112    0.64883E+03    0.72091E-02   -0.10949E+01
   113    0.65057E+03    0.76772E-02   -0.11658E+01
   114    0.65225E+03    0.81647E-02   -0.12327E+01
   115    0.65387E+03    0.86670E-02   -0.12955E+01
   116    0.65543E+03    0.91801E-02   -0.13544E+01
   117    0.65694E+03    0.97016E-02   -0.14094E+01
   118    0.65838E+03    0.10229E-01   -0.14604E+01
   119    0.65978E+03    0.10758E-01   -0.15072E+01
   120    0.66112E+03    0.11285E-01   -0.15497E+01
   121    0.66242E+03    0.11808E-01   -0.15884E+01
   122    0.66367E+03    0.12326E-01   -0.16234E+01
   123    0.66486E+03    0.12839E-01   -0.16544E+01
   124    0.66600E+03    0.13342E-01   -0.16814E+01
   125    0.66713E+03    0.13833E-01   -0.17045E+01
   126    0.66822E+03    0.14313E-01   -0.17241E+01
   127    0.66927E+03    0.14785E-01   -0.17403E+01
   128    0.67027E+03    0.15246E-01   -0.17525E+01
   129    0.67125E+03    0.15693E-01   -0.17605E+01
   130    0.67225E+03    0.16123E-01   -0.17645E+01
   131    0.67325E+03    0.16539E-01   -0.17649E+01
   132    0.67426E+03    0.16944E-01   -0.17616E+01
   133    0.67529E+03    0.17338E-01   -0.17545E+01
   134    0.67639E+03    0.17715E-01   -0.17432E+01
   135    0.67760E+03    0.18076E-01   -0.17283E+01
   136    0.67892E+03    0.18426E-01   -0.17106E+01
   137    0.68036E+03    0.18772E-01   -0.16906E+01
   138    0.68189E+03    0.19118E-01   -0.16682E+01
   139    0.68352E+03    0.19465E-01   -0.16432E+01
   140    0.68525E+03    0.19814E-01   -0.16154E+01
   141    0.68705E+03    0.20167E-01   -0.15846E+01
   142    0.68886E+03    0.20524E-01   -0.15506E+01
   143    0.69066E+03    0.20881E-01   -0.15123E+01
   144    0.69242E+03    0.21231E-01   -0.14685E+01
   145    0.69420E+03    0.21573E-01   -0.14188E+01
   146    0.69599E+03    0.21912E-01   -0.13633E+01
   147    0.69784E+03    0.22261E-01   -0.13035E+01
   148    0.69975E+03    0.22633E-01   -0.12419E+01
   149    0.70168E+03    0.23036E-01   -0.11814E+01
   150    0.70367E+03    0.23475E-01   -0.11263E+01
   151    0.70561E+03    0.23959E-01   -0.10809E+01
   152    0.70750E+03    0.24505E-01   -0.10498E+01
   153    0.70918E+03    0.25144E-01   -0.10362E+01
   154    0.71060E+03    0.25914E-01   -0.10413E+01
   155    0.71161E+03    0.26851E-01   -0.10635E+01
   156    0.71222E+03    0.27975E-01   -0.10990E+01
   157    0.71239E+03    0.29282E-01   -0.11416E+01
   158    0.71220E+03    0.30741E-01   -0.11843E+01
   159    0.71169E+03    0.32292E-01   -0.12193E+01
   160    0.71099E+03    0.33862E-01   -0.12395E+01
   161    0.71023E+03    0.35372E-01   -0.12393E+01
   162    0.70949E+03    0.36751E-01   -0.12143E+01
   163    0.70892E+03    0.37953E-01   -0.11632E+01
   164    0.70855E+03    0.38954E-01   -0.10862E+01
   165    0.70845E+03    0.39762E-01   -0.98565E+00
   166    0.70857E+03    0.40407E-01   -0.86497E+00
   167    0.70894E+03    0.40935E-01   -0.72861E+00
   168    0.70946E+03    0.41400E-01   -0.58085E+00
   169    0.71010E+03    0.41855E-01   -0.42603E+00
   170    0.71077E+03    0.42349E-01   -0.26759E+00
   171    0.71142E+03    0.42921E-01   -0.10830E+00
   172    0.71198E+03    0.43598E-01    0.50268E-01
   173    0.71244E+03    0.44399E-01    0.20730E+00
   174    0.71277E+03    0.45331E-01    0.36286E+00
   175    0.71293E+03    0.46397E-01    0.51753E+00
   176    0.71296E+03    0.47594E-01    0.67201E+00
   177    0.71284E+03    0.48917E-01    0.82737E+00
   178    0.71261E+03    0.50364E-01    0.98450E+00
   179    0.71225E+03    0.51932E-01    0.11443E+01
   180    0.71182E+03    0.53619E-01    0.13074E+01
