#    L    TT             EE             TE          
     2    0.15417E+02    0.26113E-03    0.94065E-02
     3    0.16875E+02    0.57110E-03    0.16946E-01
     4    0.18193E+02    0.78104E-03    0.22784E-01
     5    0.19644E+02    0.80022E-03    0.26024E-01
     6    0.21267E+02    0.66034E-03    0.26908E-01
     7    0.23096E+02    0.46069E-03    0.26012E-01
     8    0.25125E+02    0.29377E-03    0.24021E-01
     9    0.27352E+02    0.20127E-03    0.21673E-01
    10    0.29760E+02    0.17374E-03    0.19661E-01
    11    0.32346E+02    0.17704E-03    0.18505E-01
    12    0.35094E+02    0.18151E-03    0.18468E-01
    13    0.38000E+02    0.17617E-03    0.19641E-01
    14    0.41046E+02    0.16591E-03    0.21928E-01
    15    0.44232E+02    0.16070E-03    0.25033E-01
    16    0.47552E+02    0.16615E-03    0.28565E-01
    17    0.50999E+02    0.18099E-03    0.32146E-01
    18    0.54558E+02    0.20013E-03    0.35572E-01
    19    0.58249E+02    0.21965E-03    0.38795E-01
    20    0.62044E+02    0.23937E-03    0.41734E-01
    21    0.65947E+02    0.26268E-03    0.44403E-01
    22    0.69957E+02    0.29426E-03    0.46856E-01
    23    0.74064E+02    0.33787E-03    0.49284E-01
    24    0.78267E+02    0.39521E-03    0.51842E-01
    25    0.82565E+02    0.46651E-03    0.54617E-01
    26    0.86956E+02    0.55117E-03    0.57616E-01
    27    0.91440E+02    0.64898E-03    0.60735E-01
    28    0.96009E+02    0.76055E-03    0.63891E-01
    29    0.10066E+03    0.88657E-03    0.66995E-01
    30    0.10540E+03    0.10275E-02    0.69831E-01
    31    0.11022E+03    0.11840E-02    0.72165E-01
    32    0.11512E+03    0.13566E-02    0.73885E-01
    33    0.12010E+03    0.15462E-02    0.74902E-01
    34    0.12516E+03    0.17545E-02    0.75147E-01
    35    0.13030E+03    0.19837E-02    0.74630E-01
    36    0.13551E+03    0.22356E-02    0.73271E-01
    37    0.14080E+03    0.25127E-02    0.71014E-01
    38    0.14617E+03    0.28170E-02    0.68036E-01
    39    0.15160E+03    0.31489E-02    0.64466E-01
    40    0.15711E+03    0.35081E-02    0.60156E-01
    41    0.16269E+03    0.38957E-02    0.54775E-01
    42    0.16833E+03    0.43146E-02    0.48046E-01
    43    0.17405E+03    0.47684E-02    0.39967E-01
    44    0.17983E+03    0.52595E-02    0.30712E-01
    45    0.18569E+03    0.57887E-02    0.20405E-01
    46    0.19161E+03    0.63563E-02    0.89706E-02
    47    0.19761E+03    0.69633E-02   -0.37639E-02
    48    0.20368E+03    0.76106E-02   -0.17705E-01
    49    0.20984E+03    0.82941E-02   -0.32609E-01
    50    0.21607E+03    0.90067E-02   -0.48653E-01
    51    0.22237E+03    0.97476E-02   -0.66537E-01
    52    0.22873E+03    0.10527E-01   -0.86987E-01
    53    0.23515E+03    0.11361E-01   -0.11012E+00
    54    0.24164E+03    0.12260E-01   -0.13535E+00
    55    0.24820E+03    0.13223E-01   -0.16198E+00
    56    0.25484E+03    0.14240E-01   -0.18970E+00
    57    0.26155E+03    0.15303E-01   -0.21859E+00
    58    0.26833E+03    0.16408E-01   -0.24898E+00
    59    0.27520E+03    0.17555E-01   -0.28127E+00
    60    0.28213E+03    0.18749E-01   -0.31571E+00
    61    0.28915E+03    0.19993E-01   -0.35247E+00
    62    0.29624E+03    0.21289E-01   -0.39161E+00
    63    0.30340E+03    0.22638E-01   -0.43318E+00
    64    0.31064E+03    0.24041E-01   -0.47727E+00
    65    0.31795E+03    0.25502E-01   -0.52398E+00
    66    0.32534E+03    0.27027E-01   -0.57320E+00
    67    0.33281E+03    0.28618E-01   -0.62464E+00
    68    0.34037E+03    0.30275E-01   -0.67804E+00
    69    0.34801E+03    0.31990E-01   -0.73323E+00
    70    0.35572E+03    0.33755E-01   -0.79033E+00
    71    0.36353E+03    0.35569E-01   -0.84973E+00
    72    0.37141E+03    0.37435E-01   -0.91179E+00
    73    0.37938E+03    0.39359E-01   -0.97668E+00
    74    0.38743E+03    0.41344E-01   -0.10444E+01
    75    0.39556E+03    0.43392E-01   -0.11146E+01
    76    0.40379E+03    0.45500E-01   -0.11873E+01
    77    0.41211E+03    0.47664E-01   -0.12622E+01
    78    0.42052E+03    0.49884E-01   -0.13395E+01
    79    0.42901E+03    0.52156E-01   -0.14192E+01
    80    0.43760E+03    0.54482E-01   -0.15015E+01
    81    0.44628E+03    0.56860E-01   -0.15864E+01
    82    0.45504E+03    0.59293E-01   -0.16741E+01
    83    0.46389E+03    0.61781E-01   -0.17645E+01
    84    0.47284E+03    0.64323E-01   -0.18574E+01
    85    0.48188E+03    0.66918E-01   -0.19527E+01
    86    0.49103E+03    0.69563E-01   -0.20502E+01
    87    0.50026E+03    0.72256E-01   -0.21497E+01
    88    0.50960E+03    0.74992E-01   -0.22512E+01
    89    0.51904E+03    0.77768E-01   -0.23547E+01
    90    0.52858E+03    0.80586E-01   -0.24605E+01
    91    0.53822E+03    0.83443E-01   -0.25685E+01
    92    0.54794E+03    0.86342E-01   -0.26789E+01
    93    0.55777E+03    0.89281E-01   -0.27918E+01
    94    0.56770E+03    0.92259E-01   -0.29069E+01
    95    0.57773E+03    0.95274E-01   -0.30242E+01
    96    0.58786E+03    0.98321E-01   -0.31435E+01
    97    0.59809E+03    0.10140E+00   -0.32647E+01
    98    0.60842E+03    0.10450E+00   -0.33876E+01
    99    0.61886E+03    0.10762E+00   -0.35120E+01
   100    0.62939E+03    0.11076E+00   -0.36381E+01
   101    0.64003E+03    0.11392E+00   -0.37658E+01
   102    0.65077E+03    0.11710E+00   -0.38949E+01
   103    0.66162E+03    0.12030E+00   -0.40254E+01
   104    0.67257E+03    0.12350E+00   -0.41574E+01
   105    0.68362E+03    0.12673E+00   -0.42906E+01
   106    0.69478E+03    0.12996E+00   -0.44251E+01
   107    0.70604E+03    0.13319E+00   -0.45607E+01
   108    0.71740E+03    0.13643E+00   -0.46973E+01
   109    0.72886E+03    0.13966E+00   -0.48347E+01
   110    0.74042E+03    0.14289E+00   -0.49731E+01
   111    0.75207E+03    0.14612E+00   -0.51123E+01
   112    0.76383E+03    0.14933E+00   -0.52520E+01
   113    0.77569E+03    0.15252E+00   -0.53922E+01
   114    0.78766E+03    0.15570E+00   -0.55328E+01
   115    0.79973E+03    0.15886E+00   -0.56737E+01
   116    0.81188E+03    0.16200E+00   -0.58147E+01
   117    0.82414E+03    0.16511E+00   -0.59556E+01
   118    0.83649E+03    0.16820E+00   -0.60963E+01
   119    0.84895E+03    0.17126E+00   -0.62368E+01
   120    0.86149E+03    0.17428E+00   -0.63768E+01
   121    0.87413E+03    0.17727E+00   -0.65162E+01
   122    0.88686E+03    0.18021E+00   -0.66549E+01
   123    0.89968E+03    0.18312E+00   -0.67928E+01
   124    0.91259E+03    0.18598E+00   -0.69298E+01
   125    0.92559E+03    0.18879E+00   -0.70658E+01
   126    0.93868E+03    0.19155E+00   -0.72006E+01
   127    0.95185E+03    0.19426E+00   -0.73342E+01
   128    0.96511E+03    0.19691E+00   -0.74662E+01
   129    0.97844E+03    0.19950E+00   -0.75966E+01
   130    0.99185E+03    0.20203E+00   -0.77252E+01
   131    0.10053E+04    0.20450E+00   -0.78519E+01
   132    0.10189E+04    0.20691E+00   -0.79764E+01
   133    0.10326E+04    0.20925E+00   -0.80989E+01
   134    0.10463E+04    0.21151E+00   -0.82188E+01
