#    L    TT             EE             TE          
     2    0.21457E+02    0.10240E-03   -0.25992E-01
     3    0.27525E+02    0.10617E-02   -0.86420E-01
     4    0.32179E+02    0.49866E-02   -0.16477E+00
     5    0.35749E+02    0.12057E-01   -0.19614E+00
     6    0.38690E+02    0.19963E-01   -0.17893E+00
     7    0.40766E+02    0.27513E-01   -0.14800E+00
     8    0.41731E+02    0.34895E-01   -0.11651E+00
     9    0.42042E+02    0.42348E-01   -0.85924E-01
    10    0.41800E+02    0.49713E-01   -0.56512E-01
    11    0.41296E+02    0.56640E-01   -0.28977E-01
    12    0.40536E+02    0.62796E-01   -0.36879E-02
    13    0.39697E+02    0.68039E-01    0.19291E-01
    14    0.38765E+02    0.72371E-01    0.39888E-01
    15    0.37841E+02    0.75918E-01    0.58153E-01
    16    0.36936E+02    0.78800E-01    0.74166E-01
    17    0.36051E+02    0.81098E-01    0.88120E-01
    18    0.35155E+02    0.82686E-01    0.96326E-01
    19    0.34488E+02    0.84118E-01    0.11057E+00
    20    0.33842E+02    0.84975E-01    0.12184E+00
    21    0.33271E+02    0.85396E-01    0.13238E+00
    22    0.32791E+02    0.85464E-01    0.14317E+00
    23    0.32401E+02    0.85241E-01    0.15471E+00
    24    0.32099E+02    0.84777E-01    0.16730E+00
    25    0.31886E+02    0.84111E-01    0.18112E+00
    26    0.31756E+02    0.83265E-01    0.19621E+00
    27    0.31713E+02    0.82266E-01    0.21245E+00
    28    0.31752E+02    0.81128E-01    0.22962E+00
    29    0.31868E+02    0.79866E-01    0.24744E+00
    30    0.32062E+02    0.78496E-01    0.26558E+00
    31    0.32325E+02    0.77027E-01    0.28369E+00
    32    0.32661E+02    0.75475E-01    0.30154E+00
    33    0.33064E+02    0.73850E-01    0.31888E+00
    34    0.33532E+02    0.72159E-01    0.33557E+00
    35    0.34061E+02    0.70412E-01    0.35154E+00
    36    0.34648E+02    0.68617E-01    0.36672E+00
    37    0.35289E+02    0.66781E-01    0.38110E+00
    38    0.35982E+02    0.64914E-01    0.39474E+00
