#    L    TT             EE             TE          
     2    0.36288E+06    0.30692E+03    0.10548E+05
     3    0.81569E+05    0.20872E+01    0.50287E+02
     4    0.20015E+04    0.13429E+01    0.39673E+02
     5    0.11681E+04    0.95301E+00    0.29711E+02
     6    0.10238E+04    0.71306E+00    0.23735E+02
     7    0.94024E+03    0.55511E+00    0.19812E+02
     8    0.88891E+03    0.44515E+00    0.17019E+02
     9    0.85793E+03    0.36580E+00    0.14918E+02
    10    0.83895E+03    0.30708E+00    0.13283E+02
    11    0.82846E+03    0.26252E+00    0.11985E+02
    12    0.82349E+03    0.22789E+00    0.10935E+02
    13    0.82293E+03    0.20057E+00    0.10080E+02
    14    0.82533E+03    0.17876E+00    0.93705E+01
    15    0.83024E+03    0.16130E+00    0.87729E+01
    16    0.83704E+03    0.14725E+00    0.82576E+01
    17    0.84526E+03    0.13582E+00    0.78016E+01
    18    0.85327E+03    0.12581E+00    0.73615E+01
    19    0.86496E+03    0.11838E+00    0.70081E+01
    20    0.87654E+03    0.11185E+00    0.66650E+01
    21    0.88866E+03    0.10631E+00    0.63428E+01
    22    0.90139E+03    0.10171E+00    0.60433E+01
    23    0.91464E+03    0.97965E-01    0.57672E+01
    24    0.92836E+03    0.94969E-01    0.55143E+01
    25    0.94252E+03    0.92621E-01    0.52840E+01
    26    0.95705E+03    0.90828E-01    0.50746E+01
    27    0.97198E+03    0.89528E-01    0.48833E+01
    28    0.98724E+03    0.88674E-01    0.47070E+01
    29    0.10028E+04    0.88228E-01    0.45425E+01
    30    0.10187E+04    0.88158E-01    0.43859E+01
    31    0.10349E+04    0.88432E-01    0.42336E+01
    32    0.10513E+04    0.89032E-01    0.40836E+01
    33    0.10681E+04    0.89939E-01    0.39342E+01
    34    0.10851E+04    0.91152E-01    0.37841E+01
    35    0.11024E+04    0.92674E-01    0.36332E+01
    36    0.11200E+04    0.94505E-01    0.34809E+01
    37    0.11378E+04    0.96654E-01    0.33268E+01
    38    0.11558E+04    0.99125E-01    0.31722E+01
    39    0.11741E+04    0.10190E+00    0.30184E+01
    40    0.11926E+04    0.10496E+00    0.28635E+01
    41    0.12113E+04    0.10831E+00    0.27041E+01
    42    0.12302E+04    0.11194E+00    0.25378E+01
    43    0.12492E+04    0.11590E+00    0.23644E+01
    44    0.12685E+04    0.12017E+00    0.21853E+01
    45    0.12880E+04    0.12476E+00    0.20014E+01
    46    0.13078E+04    0.12965E+00    0.18116E+01
    47    0.13278E+04    0.13486E+00    0.16148E+01
    48    0.13481E+04    0.14035E+00    0.14122E+01
    49    0.13687E+04    0.14610E+00    0.12061E+01
    50    0.13895E+04    0.15200E+00    0.99441E+00
    51    0.14106E+04    0.15805E+00    0.77045E+00
    52    0.14318E+04    0.16436E+00    0.52786E+00
    53    0.14531E+04    0.17105E+00    0.26658E+00
    54    0.14746E+04    0.17822E+00   -0.71573E-02
    55    0.14964E+04    0.18582E+00   -0.28662E+00
    56    0.15184E+04    0.19376E+00   -0.56901E+00
    57    0.15407E+04    0.20193E+00   -0.85561E+00
    58    0.15633E+04    0.21029E+00   -0.11499E+01
    59    0.15861E+04    0.21886E+00   -0.14553E+01
    60    0.16091E+04    0.22766E+00   -0.17737E+01
    61    0.16324E+04    0.23674E+00   -0.21059E+01
    62    0.16559E+04    0.24608E+00   -0.24519E+01
    63    0.16796E+04    0.25570E+00   -0.28114E+01
    64    0.17036E+04    0.26558E+00   -0.31848E+01
    65    0.17278E+04    0.27575E+00   -0.35726E+01
    66    0.17522E+04    0.28624E+00   -0.39735E+01
    67    0.17769E+04    0.29706E+00   -0.43851E+01
    68    0.18018E+04    0.30819E+00   -0.48050E+01
    69    0.18271E+04    0.31957E+00   -0.52320E+01
    70    0.18525E+04    0.33114E+00   -0.56670E+01
    71    0.18783E+04    0.34287E+00   -0.61126E+01
    72    0.19042E+04    0.35479E+00   -0.65713E+01
    73    0.19305E+04    0.36693E+00   -0.70439E+01
    74    0.19569E+04    0.37932E+00   -0.75299E+01
    75    0.19837E+04    0.39194E+00   -0.80274E+01
    76    0.20107E+04    0.40479E+00   -0.85349E+01
    77    0.20379E+04    0.41782E+00   -0.90514E+01
    78    0.20655E+04    0.43103E+00   -0.95770E+01
    79    0.20933E+04    0.44438E+00   -0.10112E+02
    80    0.21214E+04    0.45788E+00   -0.10657E+02
    81    0.21497E+04    0.47153E+00   -0.11213E+02
    82    0.21782E+04    0.48531E+00   -0.11780E+02
    83    0.22070E+04    0.49924E+00   -0.12356E+02
    84    0.22361E+04    0.51330E+00   -0.12942E+02
    85    0.22654E+04    0.52747E+00   -0.13536E+02
    86    0.22949E+04    0.54175E+00   -0.14136E+02
    87    0.23248E+04    0.55610E+00   -0.14741E+02
    88    0.23549E+04    0.57049E+00   -0.15351E+02
    89    0.23853E+04    0.58491E+00   -0.15967E+02
    90    0.24159E+04    0.59936E+00   -0.16588E+02
    91    0.24468E+04    0.61383E+00   -0.17216E+02
    92    0.24779E+04    0.62832E+00   -0.17851E+02
    93    0.25092E+04    0.64282E+00   -0.18492E+02
    94    0.25408E+04    0.65733E+00   -0.19138E+02
    95    0.25726E+04    0.67183E+00   -0.19790E+02
    96    0.26047E+04    0.68627E+00   -0.20446E+02
    97    0.26369E+04    0.70065E+00   -0.21104E+02
    98    0.26694E+04    0.71494E+00   -0.21764E+02
    99    0.27021E+04    0.72913E+00   -0.22425E+02
   100    0.27351E+04    0.74320E+00   -0.23087E+02
   101    0.27682E+04    0.75716E+00   -0.23751E+02
   102    0.28016E+04    0.77098E+00   -0.24414E+02
   103    0.28352E+04    0.78466E+00   -0.25077E+02
   104    0.28690E+04    0.79819E+00   -0.25740E+02
   105    0.29030E+04    0.81156E+00   -0.26402E+02
   106    0.29371E+04    0.82474E+00   -0.27063E+02
   107    0.29715E+04    0.83774E+00   -0.27721E+02
   108    0.30060E+04    0.85049E+00   -0.28377E+02
   109    0.30407E+04    0.86302E+00   -0.29029E+02
   110    0.30755E+04    0.87529E+00   -0.29678E+02
   111    0.31105E+04    0.88730E+00   -0.30322E+02
   112    0.31457E+04    0.89903E+00   -0.30962E+02
   113    0.31810E+04    0.91046E+00   -0.31596E+02
   114    0.32164E+04    0.92159E+00   -0.32225E+02
   115    0.32520E+04    0.93241E+00   -0.32847E+02
   116    0.32877E+04    0.94290E+00   -0.33461E+02
   117    0.33234E+04    0.95306E+00   -0.34067E+02
   118    0.33593E+04    0.96287E+00   -0.34664E+02
   119    0.33954E+04    0.97234E+00   -0.35253E+02
   120    0.34314E+04    0.98141E+00   -0.35831E+02
   121    0.34675E+04    0.99011E+00   -0.36398E+02
   122    0.35038E+04    0.99841E+00   -0.36955E+02
   123    0.35400E+04    0.10063E+01   -0.37500E+02
   124    0.35763E+04    0.10138E+01   -0.38033E+02
   125    0.36126E+04    0.10208E+01   -0.38554E+02
   126    0.36490E+04    0.10275E+01   -0.39062E+02
   127    0.36853E+04    0.10337E+01   -0.39557E+02
   128    0.37217E+04    0.10394E+01   -0.40037E+02
   129    0.37580E+04    0.10447E+01   -0.40502E+02
   130    0.37943E+04    0.10496E+01   -0.40952E+02
   131    0.38305E+04    0.10539E+01   -0.41386E+02
   132    0.38667E+04    0.10578E+01   -0.41803E+02
   133    0.39028E+04    0.10613E+01   -0.42203E+02
   134    0.39388E+04    0.10642E+01   -0.42585E+02
   135    0.39746E+04    0.10667E+01   -0.42948E+02
   136    0.40102E+04    0.10687E+01   -0.43292E+02
   137    0.40456E+04    0.10702E+01   -0.43615E+02
   138    0.40808E+04    0.10712E+01   -0.43917E+02
   139    0.41158E+04    0.10717E+01   -0.44199E+02
   140    0.41505E+04    0.10717E+01   -0.44458E+02
   141    0.41851E+04    0.10713E+01   -0.44696E+02
   142    0.42194E+04    0.10704E+01   -0.44910E+02
   143    0.42536E+04    0.10690E+01   -0.45104E+02
   144    0.42876E+04    0.10671E+01   -0.45273E+02
   145    0.43215E+04    0.10647E+01   -0.45421E+02
   146    0.43552E+04    0.10619E+01   -0.45545E+02
   147    0.43889E+04    0.10586E+01   -0.45647E+02
   148    0.44224E+04    0.10549E+01   -0.45727E+02
   149    0.44556E+04    0.10507E+01   -0.45782E+02
   150    0.44886E+04    0.10461E+01   -0.45816E+02
   151    0.45213E+04    0.10411E+01   -0.45823E+02
   152    0.45537E+04    0.10358E+01   -0.45809E+02
   153    0.45858E+04    0.10301E+01   -0.45769E+02
   154    0.46175E+04    0.10241E+01   -0.45707E+02
   155    0.46488E+04    0.10178E+01   -0.45617E+02
   156    0.46799E+04    0.10111E+01   -0.45504E+02
   157    0.47105E+04    0.10042E+01   -0.45364E+02
   158    0.47410E+04    0.99693E+00   -0.45199E+02
   159    0.47711E+04    0.98932E+00   -0.45006E+02
   160    0.48012E+04    0.98140E+00   -0.44788E+02
   161    0.48310E+04    0.97314E+00   -0.44543E+02
   162    0.48606E+04    0.96450E+00   -0.44269E+02
   163    0.48901E+04    0.95556E+00   -0.43970E+02
   164    0.49193E+04    0.94627E+00   -0.43641E+02
   165    0.49484E+04    0.93671E+00   -0.43286E+02
   166    0.49772E+04    0.92684E+00   -0.42902E+02
   167    0.50057E+04    0.91678E+00   -0.42492E+02
   168    0.50339E+04    0.90648E+00   -0.42053E+02
   169    0.50617E+04    0.89604E+00   -0.41588E+02
   170    0.50891E+04    0.88545E+00   -0.41094E+02
   171    0.51162E+04    0.87480E+00   -0.40573E+02
   172    0.51428E+04    0.86406E+00   -0.40024E+02
   173    0.51691E+04    0.85331E+00   -0.39449E+02
   174    0.51949E+04    0.84256E+00   -0.38847E+02
   175    0.52201E+04    0.83179E+00   -0.38214E+02
   176    0.52451E+04    0.82109E+00   -0.37557E+02
   177    0.52694E+04    0.81044E+00   -0.36869E+02
   178    0.52935E+04    0.79990E+00   -0.36156E+02
   179    0.53170E+04    0.78945E+00   -0.35414E+02
   180    0.53401E+04    0.77917E+00   -0.34646E+02
   181    0.53627E+04    0.76903E+00   -0.33849E+02
   182    0.53849E+04    0.75912E+00   -0.33026E+02
   183    0.54065E+04    0.74942E+00   -0.32175E+02
   184    0.54278E+04    0.74001E+00   -0.31298E+02
   185    0.54485E+04    0.73087E+00   -0.30393E+02
   186    0.54687E+04    0.72208E+00   -0.29463E+02
   187    0.54885E+04    0.71365E+00   -0.28507E+02
   188    0.55077E+04    0.70560E+00   -0.27523E+02
   189    0.55264E+04    0.69800E+00   -0.26515E+02
   190    0.55445E+04    0.69083E+00   -0.25480E+02
   191    0.55622E+04    0.68419E+00   -0.24422E+02
   192    0.55793E+04    0.67806E+00   -0.23337E+02
   193    0.55959E+04    0.67251E+00   -0.22228E+02
   194    0.56119E+04    0.66755E+00   -0.21094E+02
   195    0.56276E+04    0.66323E+00   -0.19937E+02
   196    0.56425E+04    0.65957E+00   -0.18755E+02
   197    0.56571E+04    0.65662E+00   -0.17551E+02
   198    0.56710E+04    0.65441E+00   -0.16322E+02
   199    0.56845E+04    0.65298E+00   -0.15072E+02
   200    0.56974E+04    0.65235E+00   -0.13798E+02
   201    0.57097E+04    0.65258E+00   -0.12503E+02
   202    0.57216E+04    0.65369E+00   -0.11187E+02
   203    0.57326E+04    0.65572E+00   -0.98487E+01
   204    0.57432E+04    0.65873E+00   -0.84907E+01
   205    0.57530E+04    0.66272E+00   -0.71115E+01
   206    0.57623E+04    0.66776E+00   -0.57135E+01
   207    0.57708E+04    0.67387E+00   -0.42955E+01
   208    0.57788E+04    0.68110E+00   -0.28597E+01
   209    0.57859E+04    0.68948E+00   -0.14051E+01
   210    0.57925E+04    0.69905E+00    0.66501E-01
   211    0.57983E+04    0.70983E+00    0.15555E+01
   212    0.58035E+04    0.72188E+00    0.30605E+01
   213    0.58080E+04    0.73521E+00    0.45817E+01
   214    0.58119E+04    0.74988E+00    0.61179E+01
   215    0.58151E+04    0.76590E+00    0.76692E+01
   216    0.58177E+04    0.78333E+00    0.92343E+01
   217    0.58198E+04    0.80218E+00    0.10813E+02
   218    0.58209E+04    0.82250E+00    0.12405E+02
   219    0.58217E+04    0.84432E+00    0.14009E+02
   220    0.58217E+04    0.86766E+00    0.15625E+02
   221    0.58212E+04    0.89258E+00    0.17252E+02
   222    0.58199E+04    0.91909E+00    0.18890E+02
   223    0.58181E+04    0.94723E+00    0.20538E+02
   224    0.58156E+04    0.97704E+00    0.22194E+02
   225    0.58126E+04    0.10085E+01    0.23860E+02
   226    0.58088E+04    0.10418E+01    0.25533E+02
   227    0.58045E+04    0.10767E+01    0.27213E+02
   228    0.57995E+04    0.11135E+01    0.28900E+02
   229    0.57940E+04    0.11521E+01    0.30593E+02
   230    0.57877E+04    0.11925E+01    0.32290E+02
   231    0.57808E+04    0.12348E+01    0.33992E+02
   232    0.57735E+04    0.12789E+01    0.35698E+02
   233    0.57652E+04    0.13250E+01    0.37406E+02
   234    0.57565E+04    0.13731E+01    0.39117E+02
   235    0.57470E+04    0.14231E+01    0.40829E+02
   236    0.57371E+04    0.14751E+01    0.42542E+02
   237    0.57263E+04    0.15291E+01    0.44254E+02
   238    0.57151E+04    0.15852E+01    0.45966E+02
   239    0.57031E+04    0.16433E+01    0.47675E+02
   240    0.56906E+04    0.17036E+01    0.49384E+02
   241    0.56774E+04    0.17659E+01    0.51088E+02
   242    0.56637E+04    0.18303E+01    0.52789E+02
   243    0.56492E+04    0.18969E+01    0.54485E+02
   244    0.56343E+04    0.19656E+01    0.56177E+02
   245    0.56187E+04    0.20365E+01    0.57861E+02
   246    0.56026E+04    0.21095E+01    0.59540E+02
   247    0.55859E+04    0.21848E+01    0.61210E+02
   248    0.55687E+04    0.22623E+01    0.62873E+02
   249    0.55510E+04    0.23420E+01    0.64528E+02
   250    0.55326E+04    0.24239E+01    0.66171E+02
   251    0.55138E+04    0.25081E+01    0.67806E+02
   252    0.54944E+04    0.25945E+01    0.69427E+02
   253    0.54746E+04    0.26832E+01    0.71040E+02
   254    0.54542E+04    0.27741E+01    0.72637E+02
   255    0.54334E+04    0.28673E+01    0.74224E+02
   256    0.54120E+04    0.29627E+01    0.75794E+02
   257    0.53903E+04    0.30605E+01    0.77353E+02
   258    0.53680E+04    0.31605E+01    0.78894E+02
   259    0.53453E+04    0.32628E+01    0.80421E+02
   260    0.53221E+04    0.33673E+01    0.81929E+02
   261    0.52985E+04    0.34741E+01    0.83422E+02
   262    0.52744E+04    0.35831E+01    0.84895E+02
   263    0.52499E+04    0.36945E+01    0.86351E+02
   264    0.52249E+04    0.38080E+01    0.87785E+02
   265    0.51996E+04    0.39239E+01    0.89201E+02
   266    0.51737E+04    0.40419E+01    0.90595E+02
   267    0.51475E+04    0.41621E+01    0.91968E+02
   268    0.51210E+04    0.42847E+01    0.93321E+02
   269    0.50938E+04    0.44093E+01    0.94646E+02
   270    0.50664E+04    0.45361E+01    0.95952E+02
   271    0.50385E+04    0.46651E+01    0.97230E+02
   272    0.50103E+04    0.47963E+01    0.98487E+02
   273    0.49817E+04    0.49295E+01    0.99715E+02
   274    0.49528E+04    0.50649E+01    0.10092E+03
   275    0.49234E+04    0.52023E+01    0.10210E+03
   276    0.48938E+04    0.53418E+01    0.10325E+03
   277    0.48638E+04    0.54834E+01    0.10437E+03
   278    0.48336E+04    0.56270E+01    0.10546E+03
   279    0.48029E+04    0.57725E+01    0.10653E+03
   280    0.47721E+04    0.59200E+01    0.10756E+03
   281    0.47409E+04    0.60694E+01    0.10857E+03
   282    0.47095E+04    0.62207E+01    0.10955E+03
   283    0.46778E+04    0.63739E+01    0.11049E+03
   284    0.46459E+04    0.65289E+01    0.11141E+03
   285    0.46138E+04    0.66859E+01    0.11229E+03
   286    0.45813E+04    0.68443E+01    0.11314E+03
   287    0.45487E+04    0.70047E+01    0.11396E+03
   288    0.45158E+04    0.71666E+01    0.11475E+03
   289    0.44829E+04    0.73303E+01    0.11550E+03
   290    0.44496E+04    0.74955E+01    0.11622E+03
   291    0.44163E+04    0.76624E+01    0.11691E+03
   292    0.43828E+04    0.78306E+01    0.11755E+03
   293    0.43492E+04    0.80005E+01    0.11817E+03
   294    0.43153E+04    0.81716E+01    0.11875E+03
   295    0.42815E+04    0.83443E+01    0.11930E+03
   296    0.42474E+04    0.85182E+01    0.11981E+03
   297    0.42133E+04    0.86935E+01    0.12028E+03
   298    0.41790E+04    0.88698E+01    0.12072E+03
   299    0.41448E+04    0.90476E+01    0.12113E+03
   300    0.41104E+04    0.92263E+01    0.12149E+03
   301    0.40759E+04    0.94062E+01    0.12182E+03
   302    0.40414E+04    0.95870E+01    0.12211E+03
   303    0.40069E+04    0.97689E+01    0.12236E+03
   304    0.39723E+04    0.99516E+01    0.12258E+03
   305    0.39377E+04    0.10135E+02    0.12276E+03
   306    0.39031E+04    0.10320E+02    0.12290E+03
   307    0.38683E+04    0.10505E+02    0.12300E+03
   308    0.38337E+04    0.10691E+02    0.12307E+03
   309    0.37990E+04    0.10877E+02    0.12309E+03
   310    0.37644E+04    0.11064E+02    0.12308E+03
   311    0.37297E+04    0.11251E+02    0.12302E+03
   312    0.36951E+04    0.11440E+02    0.12293E+03
   313    0.36605E+04    0.11628E+02    0.12280E+03
   314    0.36260E+04    0.11816E+02    0.12263E+03
   315    0.35915E+04    0.12005E+02    0.12242E+03
   316    0.35572E+04    0.12194E+02    0.12218E+03
   317    0.35229E+04    0.12383E+02    0.12189E+03
   318    0.34887E+04    0.12572E+02    0.12157E+03
   319    0.34546E+04    0.12761E+02    0.12120E+03
   320    0.34207E+04    0.12950E+02    0.12080E+03
   321    0.33868E+04    0.13139E+02    0.12036E+03
   322    0.33531E+04    0.13327E+02    0.11989E+03
   323    0.33196E+04    0.13515E+02    0.11937E+03
   324    0.32862E+04    0.13703E+02    0.11882E+03
   325    0.32530E+04    0.13891E+02    0.11823E+03
   326    0.32199E+04    0.14078E+02    0.11760E+03
   327    0.31871E+04    0.14264E+02    0.11694E+03
   328    0.31544E+04    0.14449E+02    0.11623E+03
   329    0.31220E+04    0.14635E+02    0.11549E+03
   330    0.30898E+04    0.14818E+02    0.11471E+03
   331    0.30578E+04    0.15002E+02    0.11391E+03
   332    0.30260E+04    0.15184E+02    0.11305E+03
   333    0.29945E+04    0.15365E+02    0.11217E+03
   334    0.29632E+04    0.15545E+02    0.11125E+03
   335    0.29322E+04    0.15724E+02    0.11030E+03
   336    0.29014E+04    0.15902E+02    0.10931E+03
   337    0.28710E+04    0.16078E+02    0.10829E+03
   338    0.28407E+04    0.16253E+02    0.10723E+03
   339    0.28108E+04    0.16427E+02    0.10615E+03
   340    0.27812E+04    0.16599E+02    0.10502E+03
   341    0.27519E+04    0.16769E+02    0.10387E+03
   342    0.27229E+04    0.16938E+02    0.10268E+03
   343    0.26942E+04    0.17105E+02    0.10146E+03
   344    0.26658E+04    0.17270E+02    0.10021E+03
   345    0.26378E+04    0.17433E+02    0.98932E+02
   346    0.26101E+04    0.17595E+02    0.97624E+02
   347    0.25827E+04    0.17754E+02    0.96280E+02
   348    0.25557E+04    0.17912E+02    0.94913E+02
   349    0.25290E+04    0.18067E+02    0.93511E+02
   350    0.25027E+04    0.18220E+02    0.92087E+02
   351    0.24767E+04    0.18370E+02    0.90630E+02
   352    0.24512E+04    0.18519E+02    0.89151E+02
   353    0.24260E+04    0.18664E+02    0.87641E+02
   354    0.24012E+04    0.18808E+02    0.86110E+02
   355    0.23767E+04    0.18949E+02    0.84549E+02
   356    0.23527E+04    0.19087E+02    0.82968E+02
   357    0.23290E+04    0.19223E+02    0.81359E+02
   358    0.23058E+04    0.19356E+02    0.79731E+02
   359    0.22829E+04    0.19486E+02    0.78076E+02
   360    0.22605E+04    0.19613E+02    0.76404E+02
