#    L    TT             EE             TE          
     2    0.11333E+04    0.54931E-01    0.33955E+01
     3    0.10538E+04    0.88245E-01    0.42390E+01
     4    0.98088E+03    0.97550E-01    0.43423E+01
     5    0.92478E+03    0.85041E-01    0.40092E+01
     6    0.88386E+03    0.61724E-01    0.34742E+01
     7    0.85511E+03    0.38639E-01    0.28857E+01
     8    0.83561E+03    0.22071E-01    0.23315E+01
     9    0.82339E+03    0.13058E-01    0.18603E+01
    10    0.81655E+03    0.94453E-02    0.14970E+01
    11    0.81403E+03    0.83422E-02    0.12465E+01
    12    0.81466E+03    0.77436E-02    0.10995E+01
    13    0.81790E+03    0.69195E-02    0.10385E+01
    14    0.82306E+03    0.59909E-02    0.10411E+01
    15    0.82988E+03    0.53116E-02    0.10841E+01
    16    0.83804E+03    0.50656E-02    0.11475E+01
    17    0.84725E+03    0.51897E-02    0.12157E+01
    18    0.85690E+03    0.54995E-02    0.12786E+01
    19    0.86830E+03    0.58560E-02    0.13345E+01
    20    0.88002E+03    0.62276E-02    0.13805E+01
    21    0.89229E+03    0.66828E-02    0.14192E+01
    22    0.90508E+03    0.73182E-02    0.14534E+01
    23    0.91833E+03    0.82010E-02    0.14871E+01
    24    0.93198E+03    0.93466E-02    0.15235E+01
    25    0.94600E+03    0.10736E-01    0.15640E+01
    26    0.96036E+03    0.12335E-01    0.16088E+01
    27    0.97505E+03    0.14121E-01    0.16564E+01
    28    0.99002E+03    0.16086E-01    0.17041E+01
    29    0.10053E+04    0.18228E-01    0.17498E+01
    30    0.10208E+04    0.20541E-01    0.17898E+01
    31    0.10366E+04    0.23022E-01    0.18211E+01
    32    0.10526E+04    0.25671E-01    0.18423E+01
    33    0.10689E+04    0.28489E-01    0.18521E+01
    34    0.10854E+04    0.31491E-01    0.18501E+01
    35    0.11022E+04    0.34696E-01    0.18371E+01
    36    0.11192E+04    0.38120E-01    0.18131E+01
    37    0.11364E+04    0.41783E-01    0.17783E+01
    38    0.11538E+04    0.45699E-01    0.17351E+01
    39    0.11714E+04    0.49863E-01    0.16850E+01
    40    0.11892E+04    0.54261E-01    0.16269E+01
    41    0.12071E+04    0.58897E-01    0.15579E+01
    42    0.12252E+04    0.63791E-01    0.14759E+01
    43    0.12435E+04    0.68965E-01    0.13812E+01
    44    0.12619E+04    0.74432E-01    0.12755E+01
    45    0.12806E+04    0.80187E-01    0.11600E+01
    46    0.12994E+04    0.86224E-01    0.10341E+01
    47    0.13185E+04    0.92547E-01    0.89668E+00
    48    0.13378E+04    0.99149E-01    0.74952E+00
    49    0.13574E+04    0.10598E+00    0.59510E+00
    50    0.13772E+04    0.11296E+00    0.43167E+00
    51    0.13971E+04    0.12008E+00    0.25264E+00
    52    0.14172E+04    0.12743E+00    0.51877E-01
    53    0.14374E+04    0.13515E+00   -0.17042E+00
    54    0.14578E+04    0.14334E+00   -0.40773E+00
    55    0.14784E+04    0.15195E+00   -0.65303E+00
    56    0.14992E+04    0.16087E+00   -0.90329E+00
    57    0.15202E+04    0.17002E+00   -0.11597E+01
    58    0.15415E+04    0.17935E+00   -0.14256E+01
    59    0.15629E+04    0.18886E+00   -0.17044E+01
    60    0.15846E+04    0.19859E+00   -0.19979E+01
    61    0.16065E+04    0.20858E+00   -0.23066E+01
    62    0.16286E+04    0.21882E+00   -0.26301E+01
    63    0.16509E+04    0.22932E+00   -0.29683E+01
    64    0.16734E+04    0.24006E+00   -0.33213E+01
    65    0.16961E+04    0.25107E+00   -0.36893E+01
    66    0.17190E+04    0.26238E+00   -0.40711E+01
    67    0.17421E+04    0.27399E+00   -0.44642E+01
    68    0.17655E+04    0.28590E+00   -0.48662E+01
