#    L    TT             EE             TE             PP             TP          
     2    0.00000E+00    0.00000E+00    0.00000E+00    0.60368E-18    0.36933E-20
     3    0.00000E+00    0.00000E+00    0.00000E+00    0.10716E-17    0.61926E-20
     4    0.00000E+00    0.00000E+00    0.00000E+00    0.15670E-17    0.86907E-20
     5    0.00000E+00    0.00000E+00    0.00000E+00    0.20809E-17    0.11060E-19
     6    0.00000E+00    0.00000E+00    0.00000E+00    0.26062E-17    0.13397E-19
     7    0.00000E+00    0.00000E+00    0.00000E+00    0.31394E-17    0.15823E-19
     8    0.00000E+00    0.00000E+00    0.00000E+00    0.36785E-17    0.18156E-19
     9    0.00000E+00    0.00000E+00    0.00000E+00    0.42222E-17    0.20159E-19
    10    0.00000E+00    0.00000E+00    0.00000E+00    0.47689E-17    0.22106E-19
    11    0.00000E+00    0.00000E+00    0.00000E+00    0.53189E-17    0.24332E-19
    12    0.00000E+00    0.00000E+00    0.00000E+00    0.58690E-17    0.26491E-19
    13    0.00000E+00    0.00000E+00    0.00000E+00    0.64217E-17    0.28089E-19
    14    0.00000E+00    0.00000E+00    0.00000E+00    0.69737E-17    0.29570E-19
    15    0.00000E+00    0.00000E+00    0.00000E+00    0.75271E-17    0.31555E-19
    16    0.00000E+00    0.00000E+00    0.00000E+00    0.80803E-17    0.33600E-19
    17    0.00000E+00    0.00000E+00    0.00000E+00    0.86315E-17    0.34883E-19
    18    0.00000E+00    0.00000E+00    0.00000E+00    0.91828E-17    0.35820E-19
    19    0.00000E+00    0.00000E+00    0.00000E+00    0.97330E-17    0.37554E-19
    20    0.00000E+00    0.00000E+00    0.00000E+00    0.10281E-16    0.39477E-19
    21    0.00000E+00    0.00000E+00    0.00000E+00    0.10826E-16    0.40519E-19
    22    0.00000E+00    0.00000E+00    0.00000E+00    0.11370E-16    0.41051E-19
    23    0.00000E+00    0.00000E+00    0.00000E+00    0.11912E-16    0.42208E-19
    24    0.00000E+00    0.00000E+00    0.00000E+00    0.12450E-16    0.43944E-19
    25    0.00000E+00    0.00000E+00    0.00000E+00    0.12986E-16    0.45147E-19
    26    0.00000E+00    0.00000E+00    0.00000E+00    0.13518E-16    0.45490E-19
    27    0.00000E+00    0.00000E+00    0.00000E+00    0.14047E-16    0.45947E-19
    28    0.00000E+00    0.00000E+00    0.00000E+00    0.14572E-16    0.47180E-19
    29    0.00000E+00    0.00000E+00    0.00000E+00    0.15094E-16    0.48551E-19
    30    0.00000E+00    0.00000E+00    0.00000E+00    0.15611E-16    0.49150E-19
    31    0.00000E+00    0.00000E+00    0.00000E+00    0.16123E-16    0.49115E-19
    32    0.00000E+00    0.00000E+00    0.00000E+00    0.16632E-16    0.49434E-19
    33    0.00000E+00    0.00000E+00    0.00000E+00    0.17136E-16    0.50603E-19
    34    0.00000E+00    0.00000E+00    0.00000E+00    0.17635E-16    0.51819E-19
    35    0.00000E+00    0.00000E+00    0.00000E+00    0.18130E-16    0.51963E-19
    36    0.00000E+00    0.00000E+00    0.00000E+00    0.18619E-16    0.51344E-19
    37    0.00000E+00    0.00000E+00    0.00000E+00    0.19103E-16    0.51551E-19
    38    0.00000E+00    0.00000E+00    0.00000E+00    0.19582E-16    0.53070E-19
    39    0.00000E+00    0.00000E+00    0.00000E+00    0.20056E-16    0.54171E-19
    40    0.00000E+00    0.00000E+00    0.00000E+00    0.20524E-16    0.53432E-19
    41    0.00000E+00    0.00000E+00    0.00000E+00    0.20986E-16    0.52228E-19
    42    0.00000E+00    0.00000E+00    0.00000E+00    0.21443E-16    0.52891E-19
    43    0.00000E+00    0.00000E+00    0.00000E+00    0.21895E-16    0.54893E-19
    44    0.00000E+00    0.00000E+00    0.00000E+00    0.22340E-16    0.55393E-19
    45    0.00000E+00    0.00000E+00    0.00000E+00    0.22779E-16    0.53669E-19
    46    0.00000E+00    0.00000E+00    0.00000E+00    0.23213E-16    0.52417E-19
    47    0.00000E+00    0.00000E+00    0.00000E+00    0.23640E-16    0.53710E-19
    48    0.00000E+00    0.00000E+00    0.00000E+00    0.24062E-16    0.55791E-19
    49    0.00000E+00    0.00000E+00    0.00000E+00    0.24477E-16    0.55655E-19
    50    0.00000E+00    0.00000E+00    0.00000E+00    0.24886E-16    0.53438E-19
    51    0.00000E+00    0.00000E+00    0.00000E+00    0.25289E-16    0.52174E-19
    52    0.00000E+00    0.00000E+00    0.00000E+00    0.25686E-16    0.53634E-19
    53    0.00000E+00    0.00000E+00    0.00000E+00    0.26077E-16    0.55869E-19
    54    0.00000E+00    0.00000E+00    0.00000E+00    0.26461E-16    0.55708E-19
    55    0.00000E+00    0.00000E+00    0.00000E+00    0.26839E-16    0.52983E-19
    56    0.00000E+00    0.00000E+00    0.00000E+00    0.27211E-16    0.51140E-19
    57    0.00000E+00    0.00000E+00    0.00000E+00    0.27577E-16    0.52733E-19
    58    0.00000E+00    0.00000E+00    0.00000E+00    0.27936E-16    0.55588E-19
    59    0.00000E+00    0.00000E+00    0.00000E+00    0.28289E-16    0.55536E-19
    60    0.00000E+00    0.00000E+00    0.00000E+00    0.28635E-16    0.52269E-19
    61    0.00000E+00    0.00000E+00    0.00000E+00    0.28976E-16    0.50055E-19
    62    0.00000E+00    0.00000E+00    0.00000E+00    0.29310E-16    0.51583E-19
    63    0.00000E+00    0.00000E+00    0.00000E+00    0.29638E-16    0.54337E-19
    64    0.00000E+00    0.00000E+00    0.00000E+00    0.29959E-16    0.54534E-19
    65    0.00000E+00    0.00000E+00    0.00000E+00    0.30275E-16    0.52248E-19
    66    0.00000E+00    0.00000E+00    0.00000E+00    0.30584E-16    0.50054E-19
    67    0.00000E+00    0.00000E+00    0.00000E+00    0.30887E-16    0.49568E-19
    68    0.00000E+00    0.00000E+00    0.00000E+00    0.31184E-16    0.50843E-19
    69    0.00000E+00    0.00000E+00    0.00000E+00    0.31475E-16    0.53032E-19
    70    0.00000E+00    0.00000E+00    0.00000E+00    0.31759E-16    0.53963E-19
    71    0.00000E+00    0.00000E+00    0.00000E+00    0.32038E-16    0.51248E-19
    72    0.00000E+00    0.00000E+00    0.00000E+00    0.32311E-16    0.46799E-19
    73    0.00000E+00    0.00000E+00    0.00000E+00    0.32578E-16    0.46292E-19
    74    0.00000E+00    0.00000E+00    0.00000E+00    0.32839E-16    0.51236E-19
    75    0.00000E+00    0.00000E+00    0.00000E+00    0.33093E-16    0.55082E-19
    76    0.00000E+00    0.00000E+00    0.00000E+00    0.33342E-16    0.52127E-19
    77    0.00000E+00    0.00000E+00    0.00000E+00    0.33586E-16    0.45913E-19
    78    0.00000E+00    0.00000E+00    0.00000E+00    0.33823E-16    0.44254E-19
    79    0.00000E+00    0.00000E+00    0.00000E+00    0.34055E-16    0.48189E-19
    80    0.00000E+00    0.00000E+00    0.00000E+00    0.34281E-16    0.51671E-19
    81    0.00000E+00    0.00000E+00    0.00000E+00    0.34503E-16    0.51218E-19
    82    0.00000E+00    0.00000E+00    0.00000E+00    0.34718E-16    0.48651E-19
    83    0.00000E+00    0.00000E+00    0.00000E+00    0.34927E-16    0.46097E-19
    84    0.00000E+00    0.00000E+00    0.00000E+00    0.35131E-16    0.44182E-19
    85    0.00000E+00    0.00000E+00    0.00000E+00    0.35330E-16    0.44769E-19
    86    0.00000E+00    0.00000E+00    0.00000E+00    0.35524E-16    0.48905E-19
    87    0.00000E+00    0.00000E+00    0.00000E+00    0.35712E-16    0.52572E-19
    88    0.00000E+00    0.00000E+00    0.00000E+00    0.35896E-16    0.50290E-19
    89    0.00000E+00    0.00000E+00    0.00000E+00    0.36074E-16    0.43604E-19
    90    0.00000E+00    0.00000E+00    0.00000E+00    0.36247E-16    0.40064E-19
    91    0.00000E+00    0.00000E+00    0.00000E+00    0.36414E-16    0.43043E-19
    92    0.00000E+00    0.00000E+00    0.00000E+00    0.36577E-16    0.48528E-19
    93    0.00000E+00    0.00000E+00    0.00000E+00    0.36735E-16    0.51704E-19
    94    0.00000E+00    0.00000E+00    0.00000E+00    0.36889E-16    0.51290E-19
    95    0.00000E+00    0.00000E+00    0.00000E+00    0.37038E-16    0.47376E-19
    96    0.00000E+00    0.00000E+00    0.00000E+00    0.37182E-16    0.41300E-19
    97    0.00000E+00    0.00000E+00    0.00000E+00    0.37322E-16    0.38071E-19
    98    0.00000E+00    0.00000E+00    0.00000E+00    0.37456E-16    0.42098E-19
    99    0.00000E+00    0.00000E+00    0.00000E+00    0.37586E-16    0.49790E-19
   100    0.00000E+00    0.00000E+00    0.00000E+00    0.37712E-16    0.52650E-19
   101    0.00000E+00    0.00000E+00    0.00000E+00    0.37833E-16    0.48721E-19
   102    0.00000E+00    0.00000E+00    0.00000E+00    0.37951E-16    0.44005E-19
   103    0.00000E+00    0.00000E+00    0.00000E+00    0.38065E-16    0.42379E-19
   104    0.00000E+00    0.00000E+00    0.00000E+00    0.38174E-16    0.42144E-19
   105    0.00000E+00    0.00000E+00    0.00000E+00    0.38278E-16    0.43586E-19
   106    0.00000E+00    0.00000E+00    0.00000E+00    0.38379E-16    0.49873E-19
   107    0.00000E+00    0.00000E+00    0.00000E+00    0.38476E-16    0.57577E-19
   108    0.00000E+00    0.00000E+00    0.00000E+00    0.38568E-16    0.56806E-19
   109    0.00000E+00    0.00000E+00    0.00000E+00    0.38657E-16    0.45616E-19
   110    0.00000E+00    0.00000E+00    0.00000E+00    0.38743E-16    0.35264E-19
   111    0.00000E+00    0.00000E+00    0.00000E+00    0.38826E-16    0.34836E-19
   112    0.00000E+00    0.00000E+00    0.00000E+00    0.38904E-16    0.39786E-19
   113    0.00000E+00    0.00000E+00    0.00000E+00    0.38979E-16    0.42354E-19
   114    0.00000E+00    0.00000E+00    0.00000E+00    0.39050E-16    0.43748E-19
   115    0.00000E+00    0.00000E+00    0.00000E+00    0.39118E-16    0.47150E-19
   116    0.00000E+00    0.00000E+00    0.00000E+00    0.39182E-16    0.47047E-19
   117    0.00000E+00    0.00000E+00    0.00000E+00    0.39244E-16    0.37281E-19
   118    0.00000E+00    0.00000E+00    0.00000E+00    0.39301E-16    0.24530E-19
   119    0.00000E+00    0.00000E+00    0.00000E+00    0.39358E-16    0.21467E-19
   120    0.00000E+00    0.00000E+00    0.00000E+00    0.39410E-16    0.29249E-19
   121    0.00000E+00    0.00000E+00    0.00000E+00    0.39459E-16    0.37502E-19
   122    0.00000E+00    0.00000E+00    0.00000E+00    0.39505E-16    0.40485E-19
   123    0.00000E+00    0.00000E+00    0.00000E+00    0.39548E-16    0.41979E-19
   124    0.00000E+00    0.00000E+00    0.00000E+00    0.39588E-16    0.43509E-19
   125    0.00000E+00    0.00000E+00    0.00000E+00    0.39626E-16    0.39422E-19
   126    0.00000E+00    0.00000E+00    0.00000E+00    0.39662E-16    0.27608E-19
   127    0.00000E+00    0.00000E+00    0.00000E+00    0.39695E-16    0.16549E-19
   128    0.00000E+00    0.00000E+00    0.00000E+00    0.39726E-16    0.16132E-19
   129    0.00000E+00    0.00000E+00    0.00000E+00    0.39754E-16    0.25397E-19
   130    0.00000E+00    0.00000E+00    0.00000E+00    0.39779E-16    0.35146E-19
   131    0.00000E+00    0.00000E+00    0.00000E+00    0.39803E-16    0.39480E-19
   132    0.00000E+00    0.00000E+00    0.00000E+00    0.39823E-16    0.40929E-19
   133    0.00000E+00    0.00000E+00    0.00000E+00    0.39842E-16    0.43176E-19
   134    0.00000E+00    0.00000E+00    0.00000E+00    0.39859E-16    0.43165E-19
   135    0.00000E+00    0.00000E+00    0.00000E+00    0.39874E-16    0.34291E-19
   136    0.00000E+00    0.00000E+00    0.00000E+00    0.39887E-16    0.18338E-19
   137    0.00000E+00    0.00000E+00    0.00000E+00    0.39899E-16    0.81614E-20
   138    0.00000E+00    0.00000E+00    0.00000E+00    0.39910E-16    0.12812E-19
   139    0.00000E+00    0.00000E+00    0.00000E+00    0.39917E-16    0.24192E-19
   140    0.00000E+00    0.00000E+00    0.00000E+00    0.39924E-16    0.28118E-19
   141    0.00000E+00    0.00000E+00    0.00000E+00    0.39928E-16    0.26253E-19
   142    0.00000E+00    0.00000E+00    0.00000E+00    0.39931E-16    0.33126E-19
   143    0.00000E+00    0.00000E+00    0.00000E+00    0.39932E-16    0.49236E-19
   144    0.00000E+00    0.00000E+00    0.00000E+00    0.39933E-16    0.55188E-19
   145    0.00000E+00    0.00000E+00    0.00000E+00    0.39933E-16    0.40760E-19
   146    0.00000E+00    0.00000E+00    0.00000E+00    0.39929E-16    0.23538E-19
   147    0.00000E+00    0.00000E+00    0.00000E+00    0.39926E-16    0.22921E-19
   148    0.00000E+00    0.00000E+00    0.00000E+00    0.39923E-16    0.29726E-19
   149    0.00000E+00    0.00000E+00    0.00000E+00    0.39919E-16    0.22606E-19
   150    0.00000E+00    0.00000E+00    0.00000E+00    0.39914E-16    0.54235E-20
   151    0.00000E+00    0.00000E+00    0.00000E+00    0.39908E-16    0.25302E-20
   152    0.00000E+00    0.00000E+00    0.00000E+00    0.39898E-16    0.18883E-19
   153    0.00000E+00    0.00000E+00    0.00000E+00    0.39890E-16    0.31353E-19
   154    0.00000E+00    0.00000E+00    0.00000E+00    0.39881E-16    0.25817E-19
   155    0.00000E+00    0.00000E+00    0.00000E+00    0.39872E-16    0.18155E-19
   156    0.00000E+00    0.00000E+00    0.00000E+00    0.39862E-16    0.26453E-19
   157    0.00000E+00    0.00000E+00    0.00000E+00    0.39849E-16    0.41824E-19
   158    0.00000E+00    0.00000E+00    0.00000E+00    0.39839E-16    0.44002E-19
   159    0.00000E+00    0.00000E+00    0.00000E+00    0.39828E-16    0.33255E-19
   160    0.00000E+00    0.00000E+00    0.00000E+00    0.39817E-16    0.27720E-19
   161    0.00000E+00    0.00000E+00    0.00000E+00    0.39806E-16    0.35002E-19
   162    0.00000E+00    0.00000E+00    0.00000E+00    0.39793E-16    0.43272E-19
   163    0.00000E+00    0.00000E+00    0.00000E+00    0.39782E-16    0.40709E-19
   164    0.00000E+00    0.00000E+00    0.00000E+00    0.39771E-16    0.31150E-19
   165    0.00000E+00    0.00000E+00    0.00000E+00    0.39761E-16    0.26993E-19
   166    0.00000E+00    0.00000E+00    0.00000E+00    0.39750E-16    0.33053E-19
   167    0.00000E+00    0.00000E+00    0.00000E+00    0.39737E-16    0.41173E-19
   168    0.00000E+00    0.00000E+00    0.00000E+00    0.39726E-16    0.40383E-19
   169    0.00000E+00    0.00000E+00    0.00000E+00    0.39716E-16    0.31122E-19
   170    0.00000E+00    0.00000E+00    0.00000E+00    0.39705E-16    0.26415E-19
   171    0.00000E+00    0.00000E+00    0.00000E+00    0.39695E-16    0.34261E-19
   172    0.00000E+00    0.00000E+00    0.00000E+00    0.39683E-16    0.43775E-19
   173    0.00000E+00    0.00000E+00    0.00000E+00    0.39672E-16    0.39518E-19
   174    0.00000E+00    0.00000E+00    0.00000E+00    0.39662E-16    0.26252E-19
   175    0.00000E+00    0.00000E+00    0.00000E+00    0.39652E-16    0.24019E-19
   176    0.00000E+00    0.00000E+00    0.00000E+00    0.39642E-16    0.36430E-19
   177    0.00000E+00    0.00000E+00    0.00000E+00    0.39633E-16    0.43194E-19
   178    0.00000E+00    0.00000E+00    0.00000E+00    0.39620E-16    0.32428E-19
   179    0.00000E+00    0.00000E+00    0.00000E+00    0.39611E-16    0.21298E-19
   180    0.00000E+00    0.00000E+00    0.00000E+00    0.39600E-16    0.28222E-19
   181    0.00000E+00    0.00000E+00    0.00000E+00    0.39591E-16    0.42372E-19
   182    0.00000E+00    0.00000E+00    0.00000E+00    0.39581E-16    0.41323E-19
   183    0.00000E+00    0.00000E+00    0.00000E+00    0.39568E-16    0.27725E-19
   184    0.00000E+00    0.00000E+00    0.00000E+00    0.39558E-16    0.23875E-19
   185    0.00000E+00    0.00000E+00    0.00000E+00    0.39549E-16    0.34702E-19
   186    0.00000E+00    0.00000E+00    0.00000E+00    0.39540E-16    0.41116E-19
   187    0.00000E+00    0.00000E+00    0.00000E+00    0.39529E-16    0.32508E-19
   188    0.00000E+00    0.00000E+00    0.00000E+00    0.39517E-16    0.22681E-19
   189    0.00000E+00    0.00000E+00    0.00000E+00    0.39508E-16    0.25710E-19
   190    0.00000E+00    0.00000E+00    0.00000E+00    0.39497E-16    0.34472E-19
   191    0.00000E+00    0.00000E+00    0.00000E+00    0.39488E-16    0.34789E-19
   192    0.00000E+00    0.00000E+00    0.00000E+00    0.39478E-16    0.27050E-19
   193    0.00000E+00    0.00000E+00    0.00000E+00    0.39465E-16    0.23089E-19
   194    0.00000E+00    0.00000E+00    0.00000E+00    0.39455E-16    0.28443E-19
   195    0.00000E+00    0.00000E+00    0.00000E+00    0.39445E-16    0.36913E-19
   196    0.00000E+00    0.00000E+00    0.00000E+00    0.39436E-16    0.38705E-19
   197    0.00000E+00    0.00000E+00    0.00000E+00    0.39425E-16    0.30727E-19
