#    L    TT             EE             TE             PP             TP          
     2    0.11307E+04    0.54830E-01    0.34060E+01    0.10150E+07    0.32036E+05
     3    0.10518E+04    0.88182E-01    0.42510E+01    0.15601E+07    0.37990E+05
     4    0.97935E+03    0.97610E-01    0.43557E+01    0.20441E+07    0.40766E+05
     5    0.92352E+03    0.85211E-01    0.40228E+01    0.24709E+07    0.41838E+05
     6    0.88290E+03    0.61937E-01    0.34869E+01    0.28468E+07    0.41942E+05
     7    0.85450E+03    0.38824E-01    0.28971E+01    0.31794E+07    0.41479E+05
     8    0.83514E+03    0.22186E-01    0.23403E+01    0.34749E+07    0.40684E+05
     9    0.82291E+03    0.13101E-01    0.18662E+01    0.37386E+07    0.39703E+05
    10    0.81618E+03    0.94400E-02    0.15004E+01    0.39742E+07    0.38627E+05
    11    0.81356E+03    0.83201E-02    0.12478E+01    0.41862E+07    0.37533E+05
    12    0.81456E+03    0.77267E-02    0.11004E+01    0.43755E+07    0.36433E+05
    13    0.81780E+03    0.69149E-02    0.10393E+01    0.45468E+07    0.35384E+05
    14    0.82295E+03    0.59958E-02    0.10416E+01    0.47003E+07    0.34361E+05
    15    0.82960E+03    0.53209E-02    0.10843E+01    0.48392E+07    0.33381E+05
    16    0.83786E+03    0.50769E-02    0.11476E+01    0.49644E+07    0.32424E+05
    17    0.84709E+03    0.52035E-02    0.12165E+01    0.50765E+07    0.31497E+05
    18    0.85691E+03    0.55173E-02    0.12804E+01    0.51781E+07    0.30602E+05
    19    0.86829E+03    0.58787E-02    0.13364E+01    0.52695E+07    0.29743E+05
    20    0.88011E+03    0.62554E-02    0.13823E+01    0.53511E+07    0.28898E+05
    21    0.89246E+03    0.67164E-02    0.14212E+01    0.54243E+07    0.28077E+05
    22    0.90530E+03    0.73572E-02    0.14566E+01    0.54899E+07    0.27284E+05
    23    0.91856E+03    0.82445E-02    0.14913E+01    0.55485E+07    0.26521E+05
    24    0.93225E+03    0.93953E-02    0.15269E+01    0.56001E+07    0.25794E+05
    25    0.94632E+03    0.10792E-01    0.15664E+01    0.56459E+07    0.25098E+05
    26    0.96073E+03    0.12401E-01    0.16117E+01    0.56862E+07    0.24426E+05
    27    0.97547E+03    0.14196E-01    0.16602E+01    0.57212E+07    0.23786E+05
    28    0.99044E+03    0.16168E-01    0.17079E+01    0.57516E+07    0.23179E+05
    29    0.10058E+04    0.18319E-01    0.17522E+01    0.57774E+07    0.22600E+05
    30    0.10214E+04    0.20644E-01    0.17922E+01    0.57992E+07    0.22038E+05
    31    0.10372E+04    0.23137E-01    0.18242E+01    0.58170E+07    0.21493E+05
    32    0.10533E+04    0.25798E-01    0.18455E+01    0.58314E+07    0.20971E+05
    33    0.10696E+04    0.28633E-01    0.18539E+01    0.58426E+07    0.20474E+05
    34    0.10862E+04    0.31652E-01    0.18514E+01    0.58507E+07    0.19992E+05
    35    0.11030E+04    0.34874E-01    0.18385E+01    0.58558E+07    0.19520E+05
    36    0.11200E+04    0.38315E-01    0.18149E+01    0.58584E+07    0.19061E+05
    37    0.11373E+04    0.41992E-01    0.17802E+01    0.58586E+07    0.18620E+05
    38    0.11548E+04    0.45920E-01    0.17352E+01    0.58564E+07    0.18197E+05
    39    0.11723E+04    0.50110E-01    0.16828E+01    0.58521E+07    0.17789E+05
    40    0.11902E+04    0.54553E-01    0.16251E+01    0.58457E+07    0.17395E+05
    41    0.12082E+04    0.59218E-01    0.15590E+01    0.58376E+07    0.17019E+05
    42    0.12265E+04    0.64102E-01    0.14778E+01    0.58278E+07    0.16661E+05
    43    0.12448E+04    0.69266E-01    0.13802E+01    0.58163E+07    0.16316E+05
    44    0.12631E+04    0.74779E-01    0.12707E+01    0.58033E+07    0.15982E+05
    45    0.12819E+04    0.80598E-01    0.11560E+01    0.57888E+07    0.15659E+05
    46    0.13009E+04    0.86635E-01    0.10329E+01    0.57731E+07    0.15345E+05
    47    0.13200E+04    0.92911E-01    0.89358E+00    0.57563E+07    0.15036E+05
    48    0.13392E+04    0.99537E-01    0.73859E+00    0.57382E+07    0.14734E+05
    49    0.13588E+04    0.10651E+00    0.57800E+00    0.57191E+07    0.14440E+05
    50    0.13787E+04    0.11364E+00    0.41733E+00    0.56990E+07    0.14153E+05
    51    0.13989E+04    0.12079E+00    0.24649E+00    0.56780E+07    0.13871E+05
    52    0.14189E+04    0.12806E+00    0.48859E-01    0.56562E+07    0.13597E+05
    53    0.14392E+04    0.13573E+00   -0.18040E+00    0.56336E+07    0.13332E+05
    54    0.14597E+04    0.14397E+00   -0.42568E+00    0.56102E+07    0.13078E+05
    55    0.14804E+04    0.15268E+00   -0.66972E+00    0.55862E+07    0.12832E+05
    56    0.15012E+04    0.16164E+00   -0.91245E+00    0.55615E+07    0.12594E+05
    57    0.15222E+04    0.17072E+00   -0.11654E+01    0.55364E+07    0.12367E+05
    58    0.15437E+04    0.17998E+00   -0.14407E+01    0.55106E+07    0.12154E+05
    59    0.15651E+04    0.18952E+00   -0.17320E+01    0.54844E+07    0.11946E+05
    60    0.15866E+04    0.19939E+00   -0.20343E+01    0.54577E+07    0.11743E+05
    61    0.16086E+04    0.20954E+00   -0.23468E+01    0.54306E+07    0.11544E+05
    62    0.16309E+04    0.21994E+00   -0.26717E+01    0.54032E+07    0.11350E+05
    63    0.16533E+04    0.23058E+00   -0.30069E+01    0.53754E+07    0.11158E+05
    64    0.16758E+04    0.24145E+00   -0.33526E+01    0.53472E+07    0.10970E+05
    65    0.16987E+04    0.25247E+00   -0.37111E+01    0.53189E+07    0.10786E+05
    66    0.17219E+04    0.26360E+00   -0.40853E+01    0.52902E+07    0.10605E+05
    67    0.17451E+04    0.27494E+00   -0.44800E+01    0.52614E+07    0.10424E+05
    68    0.17683E+04    0.28669E+00   -0.48955E+01    0.52324E+07    0.10246E+05
    69    0.17917E+04    0.29891E+00   -0.53254E+01    0.52031E+07    0.10075E+05
    70    0.18158E+04    0.31151E+00   -0.57612E+01    0.51737E+07    0.99133E+04
    71    0.18398E+04    0.32427E+00   -0.61929E+01    0.51441E+07    0.97570E+04
    72    0.18640E+04    0.33707E+00   -0.66276E+01    0.51145E+07    0.96067E+04
    73    0.18887E+04    0.34988E+00   -0.70753E+01    0.50848E+07    0.94623E+04
    74    0.19138E+04    0.36278E+00   -0.75389E+01    0.50551E+07    0.93227E+04
    75    0.19388E+04    0.37587E+00   -0.80147E+01    0.50252E+07    0.91854E+04
    76    0.19638E+04    0.38922E+00   -0.85031E+01    0.49953E+07    0.90523E+04
    77    0.19895E+04    0.40279E+00   -0.90054E+01    0.49653E+07    0.89244E+04
    78    0.20154E+04    0.41650E+00   -0.95158E+01    0.49354E+07    0.87964E+04
